Name,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Lauri Markkanen,2019-20,22,CHI,NBA,PF,50,1492,14.3,.560,.536,.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,,1.0,1.6,2.6,.084,,0.2,-0.8,-0.6,0.5
Lauri Markkanen,2020-21,23,CHI,NBA,PF,51,1317,15.2,.619,.568,.177,3.0,19.4,11.3,5.0,1.0,1.0,8.5,20.2,,1.7,1.3,3.0,.109,,1.0,-0.9,0.1,0.7
Lauri Markkanen,2021-22,24,CLE,NBA,SF,61,1878,14.7,.582,.541,.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,,2.7,2.3,5.0,.127,,0.4,-0.1,0.4,1.1
Kelly Olynyk,2019-20,28,MIA,NBA,C,67,1300,14.6,.621,.588,.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,,1.9,1.8,3.7,.135,,0.0,1.0,1.0,1.0
Kelly Olynyk,2020-21,29,TOT,NBA,CPF,70,1997,16.4,.610,.528,.251,4.8,22.5,13.6,16.0,1.9,2.1,14.0,19.7,,2.5,2.6,5.1,.121,,0.3,0.9,1.2,1.6
Kelly Olynyk,2020-21,29,MIA,NBA,C,43,1157,12.1,.549,.646,.106,4.4,21.1,12.9,11.7,1.7,2.4,12.3,17.5,,0.3,1.6,1.9,.078,,-1.6,1.0,-0.7,0.4
Kelly Olynyk,2020-21,29,HOU,NBA,PF,27,840,22.3,.674,.389,.421,5.2,24.5,14.5,21.9,2.2,1.7,15.7,22.9,,2.2,1.0,3.2,.182,,2.9,0.9,3.8,1.2
Kelly Olynyk,2021-22,30,DET,NBA,C,40,764,16.7,.561,.416,.311,7.3,18.3,12.5,23.3,2.0,2.2,15.1,21.5,,0.8,0.8,1.6,.104,,0.5,1.0,1.6,0.7
Jarred Vanderbilt,2019-20,20,TOT,NBA,PF,11,46,7.6,.676,.125,.250,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,,-0.1,0.1,0.0,-0.026,,-6.8,0.5,-6.3,-0.1
Jarred Vanderbilt,2019-20,20,DEN,NBA,PF,9,41,7.2,.714,.000,.000,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,,-0.1,0.1,0.0,-0.042,,-7.3,0.9,-6.4,0.0
Jarred Vanderbilt,2019-20,20,MIN,NBA,PF,2,5,11.1,.532,1.000,2.000,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,,0.0,0.0,0.0,.104,,-2.8,-2.8,-5.6,0.0
Jarred Vanderbilt,2020-21,21,MIN,NBA,PF,64,1139,16.2,.612,.021,.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,,1.6,1.5,3.1,.132,,-1.4,1.4,-0.1,0.5
Jarred Vanderbilt,2021-22,22,MIN,NBA,PF,74,1880,15.3,.612,.039,.363,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,,3.1,2.9,6.0,.153,,-0.8,1.0,0.2,1.1
Collin Sexton,2019-20,21,CLE,NBA,PG,65,2143,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,,2.1,0.4,2.5,.057,,0.3,-2.1,-1.8,0.1
Collin Sexton,2020-21,22,CLE,NBA,SG,60,2115,18.0,.573,.239,.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,,2.6,0.9,3.5,.080,,1.8,-1.9,-0.2,1.0
