Name,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Donovan Mitchell,2019-20,23,UTA,NBA,SG,69,2364,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,,3.2,2.2,5.4,.110,,2.4,-0.6,1.9,2.3
Donovan Mitchell,2020-21,24,UTA,NBA,PG,53,1771,21.3,.569,.423,.290,3.1,10.6,7.0,26.7,1.4,0.7,10.7,33.5,,3.9,2.2,6.2,.167,,4.6,-0.2,4.3,2.8
Donovan Mitchell,2021-22,25,UTA,NBA,SG,67,2266,21.6,.572,.475,.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,,4.7,2.5,7.2,.152,,4.6,-0.3,4.3,3.6
Rudy Gobert,2019-20,27,UTA,NBA,C,68,2333,21.7,.699,.000,.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,,6.5,4.2,10.7,.221,,1.7,1.9,3.6,3.3
Rudy Gobert,2020-21,28,UTA,NBA,C,71,2187,23.5,.683,.007,.646,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,,6.1,5.2,11.3,.248,,2.1,2.8,4.9,3.8
Rudy Gobert,2021-22,29,UTA,NBA,C,66,2120,24.7,.732,.008,.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,,7.3,4.3,11.7,.264,,2.9,1.7,4.6,3.6
Royce O'Neale,2019-20,26,UTA,NBA,SF,71,2049,9.5,.578,.668,.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,,1.8,2.5,4.3,.101,,-1.3,2.2,0.9,1.5
Royce O'Neale,2020-21,27,UTA,NBA,SF,71,2241,9.9,.599,.706,.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,,2.3,3.3,5.6,.121,,-1.2,2.1,1.0,1.7
Royce O'Neale,2021-22,28,UTA,NBA,SF,77,2406,10.3,.608,.689,.126,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,,2.7,2.8,5.5,.109,,-0.8,1.7,0.8,1.7
Bojan Bogdanovic,2019-20,30,UTA,NBA,SF,63,2083,15.6,.603,.489,.296,2.1,11.2,6.8,10.0,0.8,0.3,13.1,25.5,,2.6,1.6,4.2,.096,,1.6,-1.5,0.1,1.1
Bojan Bogdanovic,2020-21,31,UTA,NBA,SF,72,2216,14.0,.588,.498,.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,,2.7,2.5,5.2,.113,,0.2,-0.7,-0.4,0.9
Bojan Bogdanovic,2021-22,32,UTA,NBA,PF,69,2131,15.7,.599,.504,.280,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,,3.6,1.6,5.2,.118,,1.6,-1.6,0.0,1.1
