Name,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
Donovan Mitchell,2019-20,23,UTA,NBA,SG,69,2364,.449,14.8,,.648,.169,.229,.134,.115,.352,,.494,.626,.414,.489,.465,.366,,.217,.595,,.025,26,,.127,.400,,5,0
Donovan Mitchell,2020-21,24,UTA,NBA,PG,53,1771,.438,16.0,,.577,.157,.219,.093,.108,.423,,.476,.608,.418,.451,.424,.386,,.150,.500,,.022,14,,.104,.375,,4,0
Donovan Mitchell,2021-22,25,UTA,NBA,SG,67,2266,.448,16.7,,.525,.140,.236,.077,.072,.475,,.533,.708,.465,.519,.434,.355,,.177,.483,,.018,21,,.090,.356,,2,0
Rudy Gobert,2019-20,27,UTA,NBA,C,68,2333,.693,2.1,,1.000,.837,.158,.005,.000,.000,,.693,.755,.386,.000,,,,.749,,,.425,221,,,,,0,0
Rudy Gobert,2020-21,28,UTA,NBA,C,71,2187,.675,2.7,,.993,.770,.209,.005,.009,.007,,.680,.798,.281,.000,.200,.000,,.767,,,.432,231,,.250,.000,,3,0
Rudy Gobert,2021-22,29,UTA,NBA,C,66,2120,.713,2.7,,.992,.738,.244,.008,.002,.008,,.718,.803,.468,.750,.000,.000,,.724,,,.494,233,,.000,,,2,0
Royce O'Neale,2019-20,26,UTA,NBA,SF,71,2049,.433,18.6,,.332,.203,.101,.008,.019,.668,,.545,.635,.432,.000,.429,.377,,.848,1.000,,.047,14,,.320,.436,,4,0
Royce O'Neale,2020-21,27,UTA,NBA,SF,71,2241,.444,19.0,,.294,.193,.079,.010,.013,.706,,.586,.737,.323,.500,.000,.385,,.603,.981,,.051,18,,.306,.424,,0,0
Royce O'Neale,2021-22,28,UTA,NBA,SF,77,2406,.457,18.7,,.311,.194,.106,.011,.000,.689,,.609,.686,.532,.000,,.389,,.679,.983,,.025,10,,.307,.383,,1,0
Bojan Bogdanovic,2019-20,30,UTA,NBA,SF,63,2083,.447,15.4,,.511,.195,.207,.080,.029,.489,,.479,.698,.361,.333,.259,.414,,.507,.857,,.029,22,,.282,.473,,0,0
Bojan Bogdanovic,2020-21,31,UTA,NBA,SF,72,2216,.439,15.4,,.502,.181,.226,.079,.016,.498,,.487,.635,.411,.438,.133,.390,,.412,.961,,.015,11,,.406,.444,,0,0
Bojan Bogdanovic,2021-22,32,UTA,NBA,PF,69,2131,.455,15.6,,.496,.147,.250,.084,.015,.504,,.524,.684,.483,.410,.286,.387,,.568,.917,,.016,11,,.376,.420,,0,0
