Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Dallas Mavericks,W,SW,1,2,.333,12.33,123.33,111.05,12.28,22.30,127.60,105.49,22.10
2,New Orleans Pelicans,W,SW,3,1,.750,8.75,121.47,112.86,8.61,19.12,125.40,106.55,18.84
3,Cleveland Cavaliers,E,C,3,1,.750,12.50,116.04,103.19,12.86,15.86,120.09,103.71,16.38
4,Charlotte Hornets,E,SE,2,2,.500,7.25,119.32,112.20,7.12,13.86,123.20,109.55,13.65
5,Milwaukee Bucks,E,C,3,0,1.000,11.00,110.27,99.25,11.03,9.32,105.25,95.77,9.48
6,New York Knicks,E,A,3,1,.750,9.25,117.90,108.73,9.17,9.30,116.08,106.96,9.12
7,Phoenix Suns,W,P,3,1,.750,11.50,117.46,105.74,11.71,9.01,112.39,103.42,8.97
8,Toronto Raptors,E,A,3,2,.600,2.80,113.97,111.01,2.96,7.03,116.35,108.83,7.52
9,Washington Wizards,E,SE,3,1,.750,5.00,111.67,106.49,5.18,6.19,111.34,104.79,6.55
10,Chicago Bulls,E,C,3,2,.600,1.40,112.13,111.07,1.07,5.54,113.79,108.27,5.52
11,Utah Jazz,W,NW,4,1,.800,6.00,113.28,107.54,5.74,5.75,108.10,102.78,5.32
12,Miami Heat,E,SE,2,3,.400,0.20,111.19,110.87,0.32,3.62,110.79,106.82,3.97
13,Boston Celtics,E,A,3,1,.750,1.00,120.44,119.31,1.13,1.59,121.93,120.14,1.79
14,Memphis Grizzlies,W,SW,3,1,.750,-5.25,116.58,121.91,-5.33,1.76,117.14,115.49,1.65
15,Atlanta Hawks,E,SE,3,1,.750,2.00,111.72,109.80,1.92,0.83,109.06,108.40,0.66
16,Brooklyn Nets,E,A,1,3,.250,-9.75,111.24,120.75,-9.51,-0.45,117.33,117.46,-0.13
17,Minnesota Timberwolves,W,NW,3,2,.600,2.80,114.29,111.42,2.87,-0.94,117.83,118.67,-0.84
18,Philadelphia 76ers,E,A,1,4,.200,-3.20,114.58,117.90,-3.32,-1.48,115.67,117.02,-1.35
19,San Antonio Spurs,W,SW,3,2,.600,-3.60,115.07,118.42,-3.35,-2.81,111.04,113.54,-2.50
20,Houston Rockets,W,SW,1,4,.200,-7.80,107.97,115.62,-7.65,-3.12,115.68,118.84,-3.17
21,Portland Trail Blazers,W,NW,4,1,.800,3.00,115.07,112.03,3.04,-4.11,115.61,119.72,-4.12
22,Orlando Magic,E,SE,0,5,.000,-8.80,106.59,115.67,-9.08,-5.31,107.44,112.93,-5.49
23,Indiana Pacers,E,C,1,4,.200,-6.00,113.65,119.69,-6.04,-6.54,113.61,120.01,-6.40
24,Oklahoma City Thunder,W,NW,1,3,.250,-2.00,107.10,108.96,-1.86,-9.41,98.67,108.12,-9.45
25,Detroit Pistons,E,C,1,4,.200,-11.00,108.18,119.06,-10.88,-10.11,110.31,120.31,-10.00
26,Denver Nuggets,W,NW,3,2,.600,-5.00,112.74,118.18,-5.44,-13.18,113.00,126.78,-13.78
27,Golden State Warriors,W,P,2,2,.500,-3.75,112.19,116.32,-4.14,-13.54,111.37,125.45,-14.08
28,Los Angeles Clippers,W,P,2,2,.500,-5.75,101.91,107.94,-6.03,-14.60,105.76,120.65,-14.89
29,Sacramento Kings,W,P,0,3,.000,-4.67,111.28,115.81,-4.52,-15.41,102.11,117.66,-15.55
30,Los Angeles Lakers,W,P,0,4,.000,-8.25,97.42,105.13,-7.71,-19.61,87.04,106.46,-19.42
