Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Cleveland Cavaliers,E,C,8,1,.889,12.33,116.24,103.67,12.57,11.94,115.50,103.34,12.17
2,Phoenix Suns,W,P,7,2,.778,11.22,118.83,107.22,11.61,11.69,119.35,107.27,12.08
3,Dallas Mavericks,W,SW,5,3,.625,6.00,118.56,112.40,6.16,9.34,119.72,110.25,9.47
4,Toronto Raptors,E,A,6,4,.600,7.30,116.84,109.98,6.86,9.00,117.62,108.99,8.63
5,Milwaukee Bucks,E,C,9,0,1.000,11.78,113.62,101.86,11.75,8.42,111.08,102.73,8.35
6,Boston Celtics,E,A,6,3,.667,3.44,119.46,115.73,3.73,5.56,122.10,116.26,5.84
7,New Orleans Pelicans,W,SW,5,4,.556,5.11,116.57,111.35,5.23,5.47,117.48,111.85,5.63
8,Utah Jazz,W,NW,8,3,.727,4.55,115.07,110.73,4.35,3.87,113.94,110.27,3.68
9,Portland Trail Blazers,W,NW,6,3,.667,0.67,112.02,111.45,0.57,2.91,112.68,109.74,2.93
10,Chicago Bulls,E,C,5,6,.455,1.00,112.23,111.37,0.86,1.95,111.86,109.97,1.90
11,Memphis Grizzlies,W,SW,7,3,.700,1.90,116.45,114.55,1.90,1.74,116.31,114.61,1.70
12,Philadelphia 76ers,E,A,4,6,.400,0.60,115.00,114.38,0.62,1.68,115.26,113.60,1.66
13,Brooklyn Nets,E,A,4,6,.400,-0.80,114.47,115.09,-0.62,0.85,115.39,114.37,1.02
14,Denver Nuggets,W,NW,6,3,.667,1.89,116.94,115.13,1.81,0.13,117.40,117.34,0.06
15,Miami Heat,E,SE,4,6,.400,-1.00,110.96,111.91,-0.95,-0.53,109.10,109.67,-0.57
16,New York Knicks,E,A,4,5,.444,-1.44,112.39,113.94,-1.55,-0.62,112.91,113.63,-0.72
17,Atlanta Hawks,E,SE,6,3,.667,1.11,114.75,113.59,1.16,-0.76,114.31,115.12,-0.80
18,Minnesota Timberwolves,W,NW,5,5,.500,0.40,110.99,110.63,0.36,-1.25,110.91,112.09,-1.18
19,Oklahoma City Thunder,W,NW,4,5,.444,-1.33,108.78,110.20,-1.43,-1.37,109.86,111.39,-1.52
20,Sacramento Kings,W,P,3,5,.375,-2.00,112.94,115.01,-2.07,-4.22,113.57,117.93,-4.36
21,Indiana Pacers,E,C,4,5,.444,-1.78,114.59,116.31,-1.71,-4.46,113.07,117.44,-4.36
22,Los Angeles Lakers,W,P,2,7,.222,-6.22,104.23,110.21,-5.99,-4.87,104.61,109.27,-4.66
23,Orlando Magic,E,SE,2,8,.200,-4.30,109.66,114.12,-4.46,-4.52,108.60,113.27,-4.67
24,Washington Wizards,E,SE,4,6,.400,-5.30,109.94,115.39,-5.46,-4.74,108.58,113.41,-4.83
25,Golden State Warriors,W,P,3,7,.300,-4.00,113.49,117.60,-4.11,-5.40,113.49,118.98,-5.49
26,Charlotte Hornets,E,SE,3,7,.300,-4.40,107.24,111.61,-4.37,-5.81,105.01,110.78,-5.78
27,Los Angeles Clippers,W,P,5,5,.500,-4.30,104.33,108.90,-4.57,-5.65,103.65,109.54,-5.89
28,Houston Rockets,W,SW,1,9,.100,-9.00,107.73,116.73,-9.00,-7.08,110.27,117.41,-7.13
29,San Antonio Spurs,W,SW,5,5,.500,-7.90,110.75,118.24,-7.49,-8.59,111.02,119.24,-8.22
30,Detroit Pistons,E,C,2,8,.200,-11.60,107.55,119.23,-11.68,-10.85,108.64,119.60,-10.96
